Gemeente;open vld;N-VA;VLAAMS BELANG;CD&V;PVDA;GROEN;SP.A;DierAnimal;de coöperatie;RP;Be.One;UF;PRO;PV&S;D-SA;Piratenpartij;Genoeg vr iedereen;Burgerlijst;sp.a-one.brussels
Aalst;6959;14161;14151;5409;2383;4515;5428;538;112;69;64;0;0;0;0;0;0;0;0
Aalter;2610;4450;3513;4438;671;2460;1486;203;25;12;20;0;0;0;0;0;0;0;0
Aarschot;4366;4210;3847;2610;1027;1871;2342;242;0;0;0;11;102;0;0;0;0;0;0
Aartselaar;1345;4209;1525;951;360;741;546;52;0;0;2;0;0;3;7;44;18;8;0
Affligem;1469;2704;1749;1320;275;626;601;78;0;0;0;41;34;0;0;0;0;0;0
Alken;1015;2729;1239;1185;321;805;826;0;0;17;0;0;11;0;6;0;0;0;0
Alveringem;375;745;737;904;90;164;270;47;0;0;0;0;0;0;0;29;0;0;0
Anderlecht;728;1476;935;579;433;1118;0;0;0;0;0;0;0;0;0;0;0;0;1164
Antwerpen;23900;78018;37446;14631;31424;47612;26371;2428;0;0;680;0;0;2183;1989;1451;668;646;0
Anzegem;1316;2045;2195;2480;247;1137;776;69;0;0;0;0;0;0;0;34;0;0;0
Ardooie;877;1008;1470;1632;178;322;540;56;0;0;0;0;0;0;0;32;0;0;0
Arendonk;502;2573;1856;1452;261;705;654;48;0;0;5;0;0;4;2;33;16;7;0
As;710;1292;1268;905;275;336;551;0;0;7;0;0;16;0;8;0;0;0;0
Asse;2677;5700;2684;2553;961;2121;1660;289;0;0;0;393;317;0;0;0;0;0;0
Assenede;1931;1699;2124;1561;565;677;1059;115;4;10;17;0;0;0;0;0;0;0;0
Avelgem;989;917;1428;1578;238;437;1088;50;0;0;0;0;0;0;0;33;0;0;0
Baarle-Hertog;117;286;151;208;47;86;31;4;0;0;0;0;0;2;0;4;3;1;0
Balen;967;4205;3948;2152;838;805;1530;123;0;0;5;0;0;5;2;73;55;31;0
Beernem;922;2612;1827;3030;297;807;1146;111;0;0;0;0;0;0;0;39;0;0;0
Beerse;913;3934;3165;1801;536;770;654;95;0;0;8;0;0;10;7;54;25;16;0
Beersel;1929;3763;1588;1641;538;2243;922;263;0;0;0;1898;89;0;0;0;0;0;0
Begijnendijk;1092;1836;1538;855;336;580;665;76;0;0;0;7;127;0;0;0;0;0;0
Bekkevoort;546;1009;780;936;167;218;528;36;0;0;0;2;93;0;0;0;0;0;0
Beringen;2275;6372;6229;5223;1666;1765;4679;0;0;31;0;0;60;0;545;0;0;0;0
Berlaar;861;2464;1697;1051;356;683;739;66;0;0;3;0;0;2;5;24;25;9;0
Berlare;2207;2193;2608;1251;363;571;944;90;8;6;12;0;0;0;0;0;0;0;0
Bertem;1259;1782;741;896;238;803;513;69;0;0;0;25;12;0;0;0;0;0;0
Bever;196;248;225;380;53;151;94;27;0;0;0;49;6;0;0;0;0;0;0
Beveren;2434;10306;8055;4521;1351;2637;2471;302;30;34;51;0;0;0;0;0;0;0;0
Bierbeek;992;1862;586;1261;276;1055;589;55;0;0;0;15;17;0;0;0;0;0;0
Bilzen;3143;4585;4483;4526;797;1809;2082;0;0;40;0;0;32;0;24;0;0;0;0
Blankenberge;1983;3043;2902;1976;494;689;2366;192;0;0;0;0;0;0;0;78;0;0;0
Bocholt;726;1888;1893;2061;302;437;646;0;0;8;0;0;25;0;14;0;0;0;0
Boechout;1091;3572;1268;816;382;1347;434;66;0;0;7;0;0;3;3;45;11;20;0
Bonheiden;1865;3435;1388;1396;430;1093;550;89;0;0;12;0;0;3;1;31;12;14;0
Boom;1145;3069;2182;1039;859;934;1269;78;0;0;13;0;0;31;9;64;23;16;0
Boortmeerbeek;1802;2517;1222;869;340;876;687;66;0;0;0;10;19;0;0;0;0;0;0
Borgloon;1841;1218;1331;958;356;343;1467;0;0;19;0;0;12;0;3;0;0;0;0
Bornem;1262;4210;3083;2949;824;1283;1147;114;0;0;8;0;0;0;9;55;27;21;0
Borsbeek;428;2501;1348;518;461;745;413;63;0;0;7;0;0;18;9;34;20;18;0
Boutersem;719;1470;659;892;228;725;819;55;0;0;0;1;12;0;0;0;0;0;0
Brakel;2681;1601;2262;1161;382;644;1170;111;7;12;19;0;0;0;0;0;0;0;0
Brasschaat;2496;10318;4246;2634;1286;1975;1141;212;0;0;13;0;0;8;6;123;69;28;0
Brecht;1548;7655;4670;2364;688;1104;903;171;0;0;9;0;0;9;6;83;38;27;0
Bredene;983;2042;2976;1337;463;667;3409;213;0;0;0;0;0;0;0;68;0;0;0
Bree;1513;2533;2166;2303;461;607;712;0;0;18;0;0;40;0;12;0;0;0;0
Brugge;8366;14853;12925;17268;3423;9193;10669;1418;0;0;0;0;0;0;0;588;0;0;0
Brussel;1889;2154;921;1042;840;3403;0;0;0;0;0;0;0;0;0;0;0;0;1832
Buggenhout;1134;2605;2543;1968;337;643;639;76;8;6;6;0;0;0;0;0;0;0;0
Damme;891;1714;1383;2254;204;408;564;72;0;0;0;0;0;0;0;37;0;0;0
De Haan;1651;2767;1379;1244;269;581;938;136;0;0;0;0;0;0;0;49;0;0;0
De Panne;1253;1493;1242;906;247;461;1192;155;0;0;0;0;0;0;0;51;0;0;0
De Pinte;1341;1721;637;2206;271;907;515;57;5;4;1;0;0;0;0;0;0;0;0
Deerlijk;959;1646;1736;2427;231;583;801;78;0;0;0;0;0;0;0;35;0;0;0
Deinze;4870;6945;4747;5727;1055;3077;2539;223;29;18;29;0;0;0;0;0;0;0;0
Denderleeuw;1012;2322;4456;1455;480;945;1987;143;10;15;24;0;0;0;0;0;0;0;0
Dendermonde;3637;7527;7422;4340;1431;2420;3191;327;32;29;37;0;0;0;0;0;0;0;0
Dentergem;590;1543;1420;1362;164;296;488;44;0;0;0;0;0;0;0;22;0;0;0
Dessel;516;2559;1290;924;267;293;431;34;0;0;3;0;0;2;0;17;15;14;0
Destelbergen;2606;3412;1850;1419;681;1521;1091;106;15;20;38;0;0;0;0;0;0;0;0
Diepenbeek;1316;3203;3001;1874;754;1059;1391;0;0;25;0;0;55;0;16;0;0;0;0
Diest;3031;3695;2613;1795;873;1557;2094;151;0;0;0;14;68;0;0;0;0;0;0
Diksmuide;1720;2295;2379;2617;413;567;1320;85;0;0;0;0;0;0;0;57;0;0;0
Dilbeek;4944;7041;2613;2939;1058;3101;1859;421;0;0;0;1570;81;0;0;0;0;0;0
Dilsen-Stokkem;3490;1962;2684;1727;575;689;1536;0;0;14;0;0;24;0;22;0;0;0;0
Drogenbos;138;213;136;145;110;466;136;98;0;0;0;906;33;0;0;0;0;0;0
Duffel;1133;3969;2178;1579;627;1416;612;73;0;0;8;0;0;19;16;51;29;18;0
Edegem;1830;6249;1509;1418;646;2048;767;108;0;0;11;0;0;14;14;53;24;17;0
Eeklo;1650;2634;2882;2091;762;1199;1449;154;9;14;39;0;0;0;0;0;0;0;0
Elsene;778;632;164;231;221;1583;0;0;0;0;0;0;0;0;0;0;0;0;411
Erpe-Mere;2083;3215;3741;2151;391;816;1138;124;15;16;26;0;0;0;0;0;0;0;0
Essen;669;3421;2173;1669;585;823;821;91;0;0;2;0;0;7;1;53;21;20;0
Etterbeek;422;355;116;218;121;847;0;0;0;0;0;0;0;0;0;0;0;0;233
Evere;463;632;280;207;125;346;0;0;0;0;0;0;0;0;0;0;0;0;201
